,Security,Symbol,GICS Sector,GICS Sub Industry
1276,"Ruth's Hospitality Group, Inc.",RUTH,Consumer Discretionary,Restaurants
1277,"Redwood Trust, Inc.",RWT,Real Estate,Mortgage REITs
1278,Rayonier Advanced Materials Inc.,RYAM,Materials,Specialty Chemicals
1279,Rayonier Inc,RYN,Real Estate,Specialized REITs
1280,Sabre Corp,SABR,Information Technology,Data Processing & Outsourced Services
1281,Sanderson Farms,SAFM,Consumer Staples,Packaged Foods & Meats
1282,"Safety Insurance Group, Inc.",SAFT,Financials,Property and Casualty Insurance
1283,"Sonic Automotive, Inc.",SAH,Customer Discretionary,Automotive Retail
1284,"Saia, Inc.",SAIA,Industrials,Trucking
1285,Science Applications Intl Corp,SAIC,Information Technology,IT Consulting & Other Services
1286,Boston Beer Company,SAM,Consumer Staples,Brewers
1287,Sanmina Corporation,SANM,Information Technology,Electronic Manufacturing Services
1288,Seacoast Banking Corporation of Florida,SBCF,Financials,Regional Banks
1289,Sally Beauty Holdings Inc,SBH,Consumer Discretionary,Specialty Stores
1290,Signature Bank,SBNY,Financials,Regional Banks
1291,Sabra Health Care REIT,SBRA,Real Estate,Health Care REITs
1292,"Southside Bancshares, Inc.",SBSI,Financials,Regional Banks
1293,Scholastic Corporation,SCHL,Consumer Discretionary,Publishing
1294,Service Corp Intl,SCI,Consumer Discretionary,Specialized Consumer Services
1295,Stepan Company,SCL,Materials,Specialty Chemicals
1296,"ScanSource, Inc.",SCSC,Information Technology,Technology Distributors
1297,"Shoe Carnival, Inc.",SCVL,Consumer Discretionary,Apparel Retail
1298,"SolarEdge Technologies, Inc.",SEDG,Information Technology,Semiconductor Equipment
1299,SEI Investments Corp,SEIC,Financials,Asset Management & Custody Banks
1300,Select Medical Holdings Corporation,SEM,Health Care,Healthcare Facilities
1301,Seneca Foods Corporation,SENEA,Consumer Staples,Packaged Foods and Meats
1302,Stifel Financial Corp,SF,Financials,Investment Banking & Brokerage
1303,"ServisFirst Bancshares, Inc.",SFBS,Financials,Regional Banks
1304,"Shutterfly, Inc.",SFLY,Consumer Discretionary,Internet and Direct Marketing Retail
1305,Sprouts Farmers Market,SFM,Consumer Staples,Food Retail
1306,Simmons First National Corporation,SFNC,Financials,Regional Banks
1307,Scientific Games Corporation,SGMS,Consumer Discretionary,Casinos & Gaming
1308,Shake Shack Inc.,SHAK,Consumer Discretionary,Restaurants
1309,"Steven Madden, Ltd.",SHOO,Consumer Discretionary,Footwear
1310,Signet Jewelers,SIG,Consumer Discretionary,Specialty Stores
1311,"Selective Insurance Group, Inc.",SIGI,Financials,Property and Casualty Insurance
1312,Six Flags,SIX,Consumer Discretionary,Leisure Facilities
1313,"South Jersey Industries, Inc.",SJI,Utilities,Gas Utilities
1314,Tanger Factory Outlet Centers Inc,SKT,Real Estate,Retail REITs
1315,Skechers USA Inc,SKX,Consumer Discretionary,Footwear
1316,"SkyWest, Inc.",SKYW,Industrials,Airlines
1317,Silicon Laboratories Inc,SLAB,Information Technology,Semiconductors
1318,"U.S. Silica Holdings, Inc.",SLCA,Energy,Oil and Gas Equipment and Services
1319,Silgan Holdings Inc,SLGN,Materials,Metal & Glass Containers
1320,SLM Corp,SLM,Financials,Consumer Finance
1321,SM Energy Co,SM,Energy,Oil & Gas Exploration & Production
1322,Scotts Miracle-Gro Company,SMG,Materials,Fertilizers & Agricultural Chemicals
1323,"Standard Motor Products, Inc.",SMP,Consumer Discretionary,Auto Parts and Equipment
1324,Semtech Corporation,SMTC,Information Technology,Semiconductors
1325,Sleep Number Corporation,SNBR,Consumer Discretionary,Home Furnishing Retail
1326,Senior Housing Properties Trust,SNH,Real Estate,Specialized REITs
1327,Synovus Financial Corp (GA),SNV,Financials,Regional Banks
1328,SYNNEX Corporation,SNX,Information Technology,Technology Distributors
1329,Sonoco Products Co,SON,Materials,Paper Packaging
1330,Sonic Corp.,SONC,Consumer Discretionary,Restaurants
1331,Superior Energy Services Inc,SPN,Energy,Oil & Gas Equipment & Services
1332,"Spok Holdings, Inc.",SPOK,Telecommunication Services,Wireless Telecommunication Services
1333,"Spectrum Pharmaceuticals, Inc.",SPPI,Health Care,Biotechnology
1334,"SPS Commerce, Inc.",SPSC,Information Technology,Internet Software and Services
1335,SpartanNash Company,SPTN,Consumer Staples,Food Distributors
1336,SPX Corporation,SPXC,Industrials,Industrial Machinery
1337,Spire Inc.,SR,Utilities,Gas Utilities
1338,SRC Energy Inc.,SRCI,Energy,Oil and Gas Exploration and Production
1339,"Surmodics, Inc.",SRDX,Health Care,Healthcare Equipment
1340,"Simpson Manufacturing Co., Inc.",SSD,Industrials,Building Products
1341,The E.W. Scripps Company,SSP,Consumer Discretionary,Broadcasting
1342,"Shutterstock, Inc.",SSTK,Financials,Internet Software and Services
1343,iStar Inc.,STAR,Real Estate,Diversified REITs
1344,"S&T Bancorp, Inc.",STBA,Financials,Regional Banks
1345,Stewart Information Services Corporation,STC,Financials,Property and Casualty Insurance
1346,STERIS plc,STE,Health Care,Health Care Equipment
1347,Sterling Bancorp,STL,Financials,Regional Banks
1348,Steel Dynamics Inc,STLD,Materials,Steel
1349,Stamps.com Inc.,STMP,Financials,Internet Software and Services
1350,"Strategic Education, Inc.",STRA,Consumer Discretionary,Education Services
1351,"Superior Industries International, Inc.",SUP,Consumer Discretionary,Auto Parts and Equipment
1352,"Supernus Pharmaceuticals, Inc.",SUPN,Health Care,Pharmaceuticals
1353,SUPERVALU INC.,SVU,Consumer Staples,Food Retail
1354,"Schweitzer-Mauduit International, Inc.",SWM,Materials,Paper Products
1355,Southwestern Energy Co.,SWN,Energy,Oil & Gas Exploration & Production
1356,Southwest Gas Corp,SWX,Utilities,Gas Utilities
1357,"SunCoke Energy, Inc.",SXC,Materials,Steel
1358,Standex International Corporation,SXI,Industrials,Industrial Machinery
1359,Sensient Technologies Corp,SXT,Materials,Specialty Chemicals
1360,"Sykes Enterprises, Incorporated",SYKE,Information Technology,Data Processing and Outsourced Services
1361,Synaptics,SYNA,Information Technology,Semiconductors
1362,Syneos Health,SYNH,Health Care,Life Sciences Tools & Services
1363,"TrueBlue, Inc.",TBI,Industrials,Human Resource and Employment Services
1364,TCF Financial Corp (MN),TCF,Financials,Regional Banks
1365,Texas Capital Bancshares,TCBI,Financials,Regional Banks
1366,TCF Financial Corporation,TCF,Financials,Regional Banks
1367,Taubman Centers,TCO,Real Estate,Retail REITs
1368,Teradata,TDC,Information Technology,IT Consulting & Other Services
1369,Telephone & Data Systems Inc,TDS,Telecommunication Services,Integrated Telecommunication Services
1370,Teledyne Technologies Inc,TDY,Industrials,Aerospace & Defense
1371,Tech Data Corp,TECD,Information Technology,Technology Distributors
1372,Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
1373,Teradyne,TER,Information Technology,Semiconductors
1374,Terex Corp,TEX,Industrials,Construction & Farm Machinery & Heavy Trucks
1375,Teleflex Inc,TFX,Health Care,Health Care Equipment
1376,Tredegar Corporation,TG,Materials,Commodity Chemicals
1377,"Triumph Group, Inc.",TGI,Industrials,Aerospace and Defense
1378,"Tegna, Inc.",TGNA,Consumer Discretionary,Broadcasting
1379,Tenet Healthcare Corp,THC,Health Care,Health Care Facilities
1380,Hanover Insurance Group Inc,THG,Financials,Property & Casualty Insurance
1381,Thor Industries Inc,THO,Consumer Discretionary,Leisure Products
1382,Gentherm Incorporated,THRM,Consumer Discretionary,Auto Parts and Equipment
1383,TreeHouse Foods,THS,Consumer Staples,Packaged Foods & Meats
1384,"Interface, Inc.",TILE,Industrials,Office Services and Supplies
1385,"Team, Inc.",TISI,Industrials,Environmental and Facilities Services
1386,TiVo Corporation,TIVO,Information Technology,Systems Software
1387,Timken Co,TKR,Industrials,Industrial Machinery
1388,"Tailored Brands, Inc.",TLRD,Consumer Discretionary,Apparel Retail
1389,Tompkins Financial Corporation,TMP,Financials,Regional Banks
1390,TimkenSteel Corporation,TMST,Materials,Steel
1391,Toll Brothers Inc,TOL,Consumer Discretionary,Homebuilding
1392,TRI Pointe Group,TPH,Consumer Discretionary,Homebuilding
1393,Third Point Reinsurance Ltd.,TPRE,Financials,Reinsurance
1394,Tempur Sealy International,TPX,Consumer Discretionary,Household Durables
1395,Tootsie Roll Industries Inc,TR,Consumer Staples,Packaged Foods & Meats
1396,LendingTree,TREE,Financials,Thrifts & Mortgage Finance
1397,"Trex Company, Inc.",TREX,Industrials,Building Products
1398,Trimble Inc,TRMB,Information Technology,Electronic Manufacturing Services
1399,Trustmark Corp (MS),TRMK,Financials,Regional Banks
1400,Trinity Industries Inc,TRN,Industrials,Construction & Farm Machinery & Heavy Trucks
1401,TrustCo Bank Corp NY,TRST,Financials,Thrifts and Mortgage Finance
1402,Toro Company,TTC,Industrials,Agricultural & Farm Machinery
1403,"TTEC Holdings, Inc.",TTEC,Information Technology,Data Processing and Outsourced Services
1404,"Tetra Tech, Inc.",TTEK,Industrials,Environmental and Facilities Services
1405,"TETRA Technologies, Inc.",TTI,Energy,Oil and Gas Equipment and Services
1406,"TTM Technologies, Inc.",TTMI,Information Technology,Electronic Manufacturing Services
1407,"Tile Shop Holdings, Inc.",TTS,Consumer Discretionary,Home Improvement Retail
1408,Tupperware Corp,TUP,Consumer Discretionary,Housewares & Specialties
1409,Travelport Worldwide Limited,TVPT,Information Technology,Data Processing and Outsourced Services
1410,"Tivity Health, Inc.",TVTY,Health Care,Healthcare Services
1411,"Titan International, Inc.",TWI,Materials,Agricultural and Farm Machinery
1412,Texas Roadhouse,TXRH,Consumer Discretionary,Restaurants
1413,Tyler Technologies,TYL,Information Technology,Application Software
1414,Monotype Imaging Holdings Inc.,TYPE,Information Technology,Application Software
1415,Urstadt Biddle Properties Inc.,UBA,Real Estate,Retail REITs
1416,United Bankshares Inc,UBSI,Financials,Regional Banks
1417,"United Community Banks, Inc.",UCBI,Financials,Regional Banks
1418,"Ultra Clean Holdings, Inc.",UCTT,Information Technology,Semiconductor Equipment
1419,Urban Edge Properties,UE,Real Estate,Retail REITs
1420,Universal Electronics Inc.,UEIC,Consumer Discretionary,Consumer Electronics
1421,"United Fire Group, Inc.",UFCS,Financials,Property and Casualty Insurance
1422,"Unifi, Inc.",UFI,Consumer Discretionary,Textiles
1423,"Universal Forest Products, Inc.",UFPI,Industrials,Building Products
1424,Domtar Corp,UFS,Materials,Paper & Forest Products
1425,UGI Corp,UGI,Utilities,Gas Utilities
1426,Universal Health Realty Income Trust,UHT,Real Estate,Healthcare REITs
1427,United Insurance Holdings Corp.,UIHC,Financials,Property and Casualty Insurance
1428,Ultimate Software Group Inc,ULTI,Information Technology,Application Software
1429,UMB Financial Corp.,UMBF,Financials,Regional Banks
1430,Umpqua Holdings Corporation,UMPQ,Financials,Regional Banks
1431,UniFirst Corporation,UNF,Industrials,Diversified Support Services
1432,United Natural Foods Inc,UNFI,Consumer Staples,Food & Staples Retailing
1433,Uniti Group,UNIT,Real Estate,Specialized REITs
1434,Unit Corporation,UNT,Energy,Oil and Gas Drilling
1435,Urban Outfitters,URBN,Consumer Discretionary,Apparel Retail
1436,"U.S. Concrete, Inc.",USCR,Materials,Construction Materials
1437,"U.S. Physical Therapy, Inc.",USPH,Health Care,Healthcare Facilities
1438,United Therapeutics Corp,UTHR,Health Care,Biotechnology
1439,"Universal Insurance Holdings, Inc.",UVE,Financials,Property and Casualty Insurance
1440,Universal Corporation,UVV,Consumer Staples,Tobacco
1441,Marriott Vacations Worldwide Corporation,VAC,Real Estate,"Hotels, Resorts and Cruise Lines"
1442,Visteon,VC,Consumer Discretionary,Auto Parts & Equipment
1443,Veeco Instruments Inc.,VECO,Information Technology,Semiconductor Equipment
1444,Vonage Holdings Corp.,VG,Telecommunication Services,Alternative Carriers
1445,Viavi Solutions Inc.,VIAV,Information Technology,Communications Equipment
1446,Vicor Corporation,VICR,Industrials,Electrical Components and Equipment
1447,"Meridian Bioscience, Inc.",VIVO,Health Care,Healthcare Supplies
1448,Valley National Bancorp,VLY,Financials,Regional Banks
1449,Valmont Industries Inc,VMI,Industrials,Industrial Machinery
1450,"Vera Bradley, Inc.",VRA,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
1451,Varex Imaging Corporation,VREX,Health Care,Healthcare Equipment
1452,"Virtus Investment Partners, Inc.",VRTS,Financials,Asset Management and Custody Banks
1453,Virtusa Corporation,VRTU,Information Technology,IT Consulting and Other Services
1454,Veritiv Corporation,VRTV,Industrials,Trading Companies and Distributors
1455,ViaSat Inc,VSAT,Information Technology,Communications Equipment
1456,Vishay Intertechnology Inc,VSH,Information Technology,Electronic Components
1457,"Vitamin Shoppe, Inc.",VSI,Consumer Discretionary,Specialty Stores
1458,Versum Materials Inc,VSM,Information Technology,Semiconductor Equipment
1459,Vista Outdoor Inc.,VSTO,Consumer Discretionary,Leisure Products
1460,Vectren Corp,VVC,Utilities,Multi-Utilities
1461,Viad Corp,VVI,Industrials,Diversified Support Services
1462,Valvoline Inc,VVV,Materials,Commodity Chemicals
1463,Wabtec,WAB,Industrials,Construction & Farm Machinery & Heavy Trucks
1464,Westamerica Bancorporation,WABC,Financials,Regional Banks
1465,Washington Federal Inc.,WAFD,Financials,Thrifts & Mortgage Finance
1466,"WageWorks, Inc.",WAGE,Industrials,Human Resource and Employment Services
1467,Webster Financial Corp (CT),WBS,Financials,Regional Banks
1468,Wellcare Health Plans Inc,WCG,Health Care,Managed Health Care
1469,"Walker & Dunlop, Inc.",WD,Financials,Thrifts and Mortgage Finance
1470,WD-40 Company,WDFC,Consumer Staples,Household Products
1471,"Waddell & Reed Financial, Inc.",WDR,Financials,Asset Management and Custody Banks
1472,Wendy's Company,WEN,Consumer Discretionary,Restaurants
1473,Werner Enterprises Inc,WERN,Industrials,Trucking
1474,"WisdomTree Investments, Inc.",WETF,Financials,Asset Management and Custody Banks
1475,WEX Inc.,WEX,Information Technology,Data Processing & Outsourced Services
1476,"Winnebago Industries, Inc.",WGO,Consumer Discretionary,Automobile Manufacturers
1477,"Wyndham Hotels & Resorts, Inc.",WH,Consumer Discretionary,"Hotels, Resorts and Cruise Lines"
1478,Wingstop Inc.,WING,Consumer Discretionary,Restaurants
1479,Encore Wire Corporation,WIRE,Industrials,Electrical Components and Equipment
1480,William Lyon Homes,WLH,Consumer Discretionary,Homebuilding
1481,Wabash National Corporation,WNC,Industrials,Construction Machinery and Heavy Trucks
1482,Worthington Industries,WOR,Materials,Steel
1483,Washington Prime Group Inc.,WPG,Real Estate,Retail REITs
1484,WPX Energy,WPX,Energy,Oil & Gas Exploration & Production
1485,W.R. Berkley Corp,WRB,Financials,Property & Casualty Insurance
1486,Weingarten Realty Investors,WRI,Real Estate,Retail REITs
1487,World Acceptance Corporation,WRLD,Financials,Consumer Finance
1488,Williams-Sonoma Inc,WSM,Consumer Discretionary,Homefurnishing Retail
1489,Watsco Inc,WSO,Industrials,Trading Companies & Distributors
1490,Whitestone REIT,WSR,Real Estate,Retail REITs
1491,West Pharmaceutical Services,WST,Health Care,Health Care Supplies
1492,Wintrust Financial Corp,WTFC,Financials,Regional Banks
1493,Aqua America,WTR,Utilities,Water Utilities
1494,"Watts Water Technologies, Inc.",WTS,Industrials,Industrial Machinery
1495,Woodward Inc,WWD,Industrials,Electrical Components & Equipment
1496,World Wrestling Entertainment,WWE,Consumer Discretionary,Movies & Entertainment
1497,"Wolverine World Wide, Inc.",WWW,Consumer Discretionary,Footwear
1498,Wyndham Destinations,WYND,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
1499,United States Steel Corporation,X,Materials,Steel
1500,XO Group Inc.,XOXO,Information Technology,Internet Software and Services
1501,Xperi Corporation,XPER,Information Technology,Semiconductor Equipment
1502,Alleghany Corporation,Y,Financials,Reinsurance
1503,Zebra Technologies Corp,ZBRA,Information Technology,Office Electronics
1504,"Olympic Steel, Inc.",ZEUS,Materials,Steel
1505,Zumiez Inc.,ZUMZ,Consumer Discretionary,Apparel Retail
